DB,Duration,Run,Total_Inserts,Total_Ops,Throughput_Ops_s,Mem_MB,Disk_MB
ClickHouse,60,1,92104,167203,2786.7166666666667,1858.7265625,49
ClickHouse,60,2,96420,175362,2922.7,1341.89453125,66
ClickHouse,60,3,103365,187909,3131.8166666666666,1218.17578125,149
ClickHouse,60,4,107767,195901,3265.016666666667,1426.35546875,175
ClickHouse,60,5,97011,176139,2935.65,1251.79296875,269
ClickHouse,300,1,507146,922372,3074.5733333333333,1151.60546875,440
ClickHouse,300,2,526219,956687,3188.9566666666665,1461.6484375,599
ClickHouse,300,3,492302,894457,2981.5233333333335,1495.4453125,920
ClickHouse,300,4,524319,953762,3179.2066666666665,2038.52734375,917
ClickHouse,300,5,517260,942322,3141.0733333333333,2047.56640625,795
ClickHouse,600,1,1038294,1888539,3147.565,1309.9453125,1151
ClickHouse,600,2,1012865,1841855,3069.758333333333,1905.0390625,1450
ClickHouse,600,3,1017438,1849654,3082.7566666666667,1563.55859375,1363
ClickHouse,600,4,1020254,1854205,3090.3416666666667,1793.66796875,1680
ClickHouse,600,5,1028650,1869623,3116.0383333333334,1511.37109375,1591
