DB,Duration,Run,Total_Inserts,Total_Ops,Throughput_Ops_s,Mem_MB,Disk_MB
QuestDB,60,1,256562,466697,7778.283333333334,726.24609375,348
QuestDB,60,2,276100,502146,8369.1,876.98828125,440
QuestDB,60,3,475951,864304,14405.066666666668,976.86328125,584
QuestDB,60,4,499394,908784,15146.4,1178.08984375,732
QuestDB,60,5,489254,890000,14833.333333333334,1341.28125,877
QuestDB,300,1,2305054,4187553,13958.51,1781.94140625,1469
QuestDB,300,2,2186622,3974865,13249.55,2047.94921875,2120
QuestDB,300,3,2335903,4246297,14154.323333333334,2047.9921875,2818
QuestDB,300,4,2356980,4285052,14283.506666666666,2040.14453125,3522
QuestDB,300,5,2313089,4207852,14026.173333333334,1970.734375,4213
QuestDB,600,1,4702247,8553828,14256.38,2035.98046875,5622
QuestDB,600,2,4691725,8527012,14211.686666666666,2047.9375,7021
QuestDB,600,3,4683660,8516138,14193.563333333334,2047.61328125,8422
QuestDB,600,4,4682786,8513067,14188.445,2047.8125,9821
QuestDB,600,5,4683156,8513462,14189.103333333333,2038.68359375,11218
