DB,Duration,Run,Total_Inserts,Total_Ops,Throughput_Ops_s,Mem_MB,Disk_MB
TimescaleDB,60,1,144345,262095,4368.25,196.03125,168
TimescaleDB,60,2,150063,271981,4533.016666666666,353.64453125,295
TimescaleDB,60,3,148700,269694,4494.9,540.0703125,453
TimescaleDB,60,4,151014,274286,4571.433333333333,694.76953125,581
TimescaleDB,60,5,136809,248234,4137.233333333334,845.86328125,705
TimescaleDB,300,1,747805,1359341,4531.136666666666,1216.109375,1317
TimescaleDB,300,2,715848,1302471,4341.57,1600.3359375,1460
TimescaleDB,300,3,682872,1242823,4142.743333333333,1893.2109375,1603
TimescaleDB,300,4,642868,1168871,3896.2366666666667,2047.640625,1718
TimescaleDB,300,5,661784,1202447,4008.1566666666668,2046.15625,1831
TimescaleDB,600,1,1212006,2205768,3676.28,2046.515625,2071
TimescaleDB,600,2,1097736,1999062,3331.77,2047.78125,2274
TimescaleDB,600,3,955791,1737406,2895.6766666666667,2046.66015625,2460
TimescaleDB,600,4,785238,1425370,2375.616666666667,2046.9765625,2609
TimescaleDB,600,5,741286,1347969,2246.615,2047.7109375,2770

